Minimal test

Classic Method:
Iteration 000: error=1.18546
Iteration 001: error=0.579393
Iteration 002: error=0.212294
Iteration 003: error=0.0538574
Iteration 004: error=0.0490843
Iteration 005: error=0.130457
Iteration 006: error=0.238391
Iteration 007: error=0.328649
Iteration 008: error=0.377099
Iteration 009: error=0.380757
Iteration 010: error=0.346901
Iteration 011: error=0.288542
Iteration 012: error=0.220829
Iteration 013: error=0.156297
Iteration 014: error=0.102726
Iteration 015: error=0.0643839
Iteration 016: error=0.0413981
Iteration 017: error=0.0323123
Iteration 018: error=0.0341512
Iteration 019: error=0.0434327
Iteration 020: error=0.0556272
Iteration 021: error=0.0673566
Iteration 022: error=0.0752795
Iteration 023: error=0.0771985
Iteration 024: error=0.072286
Iteration 025: error=0.0618023
Iteration 026: error=0.0475735
Iteration 027: error=0.0321837
Iteration 028: error=0.0184076
Iteration 029: error=0.00865955
Iteration 030: error=0.00417172
Iteration 031: error=0.00505531
Iteration 032: error=0.00973617
Iteration 033: error=0.0162267
Iteration 034: error=0.0221992
Iteration 035: error=0.0254938
Iteration 036: error=0.025297
Iteration 037: error=0.0218014
Iteration 038: error=0.0158525
Iteration 039: error=0.00932836
Iteration 040: error=0.00389737
Iteration 041: error=0.000760665
Iteration 042: error=0.000179914
Iteration 043: error=0.00166255
Iteration 044: error=0.00415877
Iteration 045: error=0.00649632
Iteration 046: error=0.00777857
Iteration 047: error=0.00769352
Iteration 048: error=0.00635269
Iteration 049: error=0.00432418
Iteration 050: error=0.0023572
Iteration 051: error=0.000970975
Iteration 052: error=0.000423623
Iteration 053: error=0.000643949
Iteration 054: error=0.0012471
Iteration 055: error=0.0019282
Iteration 056: error=0.00238087
Iteration 057: error=0.00252697
Iteration 058: error=0.00250213
Iteration 059: error=0.00227513
Iteration 060: error=0.00192506
Iteration 061: error=0.00151415
Iteration 062: error=0.00114236
Iteration 063: error=0.000889714
Iteration 064: error=0.00058786
Iteration 065: error=0.000371205
Iteration 066: error=0.000380309
Iteration 067: error=0.000644871
Iteration 068: error=0.000997627
Iteration 069: error=0.00125361
Iteration 070: error=0.00134792
Iteration 071: error=0.00114107
Iteration 072: error=0.000775951
Iteration 073: error=0.000339998
Iteration 074: error=4.55788e-05
Iteration 075: error=6.8269e-05
Iteration 076: error=0.000293977
Iteration 077: error=0.000565082
Iteration 078: error=0.000712735
Iteration 079: error=0.000745037
Iteration 080: error=0.000630681
Iteration 081: error=0.000449183
Iteration 082: error=0.000244847
Iteration 083: error=8.60443e-05
Iteration 084: error=3.10948e-05
Iteration 085: error=8.93331e-05
Iteration 086: error=0.00023047
Iteration 087: error=0.000349017
Iteration 088: error=0.000430947
Iteration 089: error=0.000385997
Iteration 090: error=0.000317432
Iteration 091: error=0.000237653
Iteration 092: error=0.000129317
Iteration 093: error=6.85435e-05
Iteration 094: error=4.18993e-05
Iteration 095: error=5.55686e-05
Iteration 096: error=0.00010925
Iteration 097: error=0.000127143
Iteration 098: error=0.000110111
Iteration 099: error=9.44471e-05
Iteration 100: error=9.40568e-05

Masks method:
Iteration 000: error=1.18469
Iteration 001: error=0.577865
Iteration 002: error=0.211017
Iteration 003: error=0.0534969
Iteration 004: error=0.0501315
Iteration 005: error=0.133811
Iteration 006: error=0.243259
Iteration 007: error=0.334897
Iteration 008: error=0.385664
Iteration 009: error=0.39028
Iteration 010: error=0.356978
Iteration 011: error=0.298619
Iteration 012: error=0.230199
Iteration 013: error=0.164323
Iteration 014: error=0.109187
Iteration 015: error=0.0687464
Iteration 016: error=0.0436005
Iteration 017: error=0.0327059
Iteration 018: error=0.0334075
Iteration 019: error=0.042247
Iteration 020: error=0.0548225
Iteration 021: error=0.0673168
Iteration 022: error=0.0761313
Iteration 023: error=0.0789858
Iteration 024: error=0.0750633
Iteration 025: error=0.0650453
Iteration 026: error=0.0507737
Iteration 027: error=0.0350006
Iteration 028: error=0.0206251
Iteration 029: error=0.0101009
Iteration 030: error=0.00483687
Iteration 031: error=0.00499696
Iteration 032: error=0.00939593
Iteration 033: error=0.0159389
Iteration 034: error=0.0222346
Iteration 035: error=0.0262302
Iteration 036: error=0.0266868
Iteration 037: error=0.023525
Iteration 038: error=0.0177209
Iteration 039: error=0.0109631
Iteration 040: error=0.00499494
Iteration 041: error=0.00117646
Iteration 042: error=2.93474e-05
Iteration 043: error=0.0012392
Iteration 044: error=0.00382922
Iteration 045: error=0.00657283
Iteration 046: error=0.00840455
Iteration 047: error=0.00877846
Iteration 048: error=0.00770504
Iteration 049: error=0.0056915
Iteration 050: error=0.00344088
Iteration 051: error=0.00161424
Iteration 052: error=0.000620389
Iteration 053: error=0.000498892
Iteration 054: error=0.000972505
Iteration 055: error=0.00168351
Iteration 056: error=0.0022828
Iteration 057: error=0.00257405
Iteration 058: error=0.00249855
Iteration 059: error=0.00213933
Iteration 060: error=0.0016164
Iteration 061: error=0.00107969
Iteration 062: error=0.000655028
Iteration 063: error=0.000406955
Iteration 064: error=0.000329159
Iteration 065: error=0.000375705
Iteration 066: error=0.00050489
Iteration 067: error=0.000649277
Iteration 068: error=0.000752841
